,Unnamed: 0,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
40,41,Bam Adebayo,MIA,24,18,11,7,34.1,14.8,5.8,9.7,59.4,0.0,0.1,0.0,3.2,4.2,76.3,2.1,5.9,8.0,2.7,2.1,1.0,0.7,3.1,31.4,6,0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,Dillon Brooks,MEM,26,11,6,5,30.5,14.6,5.5,15.6,34.9,2.3,6.5,34.7,1.5,2.3,64.0,0.7,2.0,2.7,2.7,2.0,1.0,0.3,3.3,23.8,0,0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43,Jonas Valanciunas,NOP,30,6,2,4,29.1,14.5,5.5,11.3,48.5,0.2,1.0,16.7,3.3,4.3,76.9,5.5,8.8,14.3,3.0,2.0,0.7,0.2,2.8,36.7,4,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,Khris Middleton,MIL,30,2,1,1,35.7,14.5,5.0,12.0,41.7,3.0,7.0,42.9,1.5,1.5,100.0,0.5,4.5,5.0,7.0,5.5,1.5,0.0,3.0,30.0,0,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
44,43,Seth Curry,BKN,31,4,0,4,33.1,14.5,5.5,9.8,56.4,3.0,5.8,52.2,0.5,0.8,66.7,0.5,2.0,2.5,3.0,0.8,0.3,0.8,3.8,24.3,0,0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,Bogdan Bogdanovic,ATL,29,4,1,3,26.7,14.3,5.0,12.3,40.8,2.3,6.5,34.6,2.0,2.5,80.0,1.0,3.8,4.8,3.0,1.0,0.3,0.3,3.0,25.0,0,0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47,Spencer Dinwiddie,DAL,29,18,9,9,27.8,14.2,4.4,10.7,41.7,2.2,5.3,41.7,3.1,3.7,82.1,0.4,2.0,2.4,3.6,1.6,0.8,0.3,2.3,24.4,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48,Bruce Brown,BKN,25,4,0,4,34.7,14.0,5.3,9.3,56.8,1.5,3.5,42.9,2.0,2.5,80.0,1.5,3.3,4.8,2.8,2.3,1.3,0.8,4.0,27.6,0,0,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,Monte Morris,DEN,26,5,1,4,31.1,14.0,5.0,10.2,49.0,2.2,5.2,42.3,1.8,2.4,75.0,0.2,2.0,2.2,5.4,1.6,1.2,0.0,2.8,26.7,0,0,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50,Aaron Gordon,DEN,26,5,1,4,32.0,13.8,4.6,10.8,42.6,0.6,3.0,20.0,4.0,5.6,71.4,3.6,3.6,7.2,2.6,1.6,0.4,1.2,2.8,29.5,1,0,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
